date,act_symbol,open,high,low,close
2019-11-04,AAPL,257.3300,257.8500,255.3800,257.5000
2019-11-05,AAPL,257.0500,258.1900,256.3200,257.1300
2019-11-06,AAPL,256.7700,257.4900,255.3700,257.2400
2019-11-07,AAPL,258.7400,260.3500,258.1100,259.4300
2019-11-08,AAPL,258.6900,260.4400,256.8500,260.1400
2019-11-11,AAPL,258.3000,262.4700,258.2800,262.2000
2019-11-12,AAPL,261.5500,262.7900,260.9200,261.9600
2019-11-13,AAPL,261.1300,264.7800,261.0700,264.4700
2019-11-14,AAPL,263.7500,264.8800,262.1000,262.6400
2019-11-15,AAPL,263.6800,265.7800,263.0100,265.7600
2019-11-18,AAPL,265.8000,267.4300,264.2300,267.1000
2019-11-19,AAPL,267.9000,268.0000,265.3900,266.2900
2019-11-20,AAPL,265.5400,266.0800,260.4000,263.1900
2019-11-21,AAPL,263.6900,264.0100,261.1800,262.0100
2019-11-22,AAPL,262.5900,263.1800,260.8400,261.7800
2019-11-25,AAPL,262.7100,266.4400,262.5200,266.3700
2019-11-26,AAPL,266.9400,267.1600,262.5000,264.2900
2019-11-27,AAPL,265.5800,267.9800,265.3100,267.8400
2019-11-29,AAPL,266.6000,268.0000,265.9000,267.2500
2019-12-02,AAPL,267.2700,268.2500,263.4500,264.1600
2019-12-03,AAPL,258.3100,259.5300,256.2900,259.4500
2019-12-04,AAPL,261.0700,263.3100,260.6800,261.7400
2019-12-05,AAPL,263.7900,265.8900,262.7300,265.5800
2019-12-06,AAPL,267.4800,271.0000,267.3000,270.7100
2019-12-09,AAPL,270.0000,270.8000,264.9100,266.9200
2019-12-10,AAPL,268.6000,270.0700,265.8600,268.4800
2019-12-11,AAPL,268.8100,271.1000,268.5000,270.7700
2019-12-12,AAPL,267.7800,272.5600,267.3200,271.4600
2019-12-13,AAPL,271.4600,275.3000,270.9300,275.1500
2019-12-16,AAPL,277.0000,280.7900,276.9800,279.8600
2019-12-17,AAPL,279.5700,281.7700,278.8000,280.4100
2019-12-18,AAPL,279.8000,281.9000,279.1200,279.7400
2019-12-19,AAPL,279.5000,281.1800,278.9500,280.0200
2019-12-20,AAPL,282.2300,282.6500,278.5600,279.4400
2019-12-23,AAPL,280.5300,284.2500,280.3700,284.0000
2019-12-24,AAPL,284.6900,284.8900,282.9200,284.2700
2019-12-26,AAPL,284.8200,289.9800,284.7000,289.9100
2019-12-27,AAPL,291.1200,293.9700,288.1200,289.8000
2019-12-30,AAPL,289.4600,292.6900,285.2200,291.5200
2019-12-31,AAPL,289.9300,293.6800,289.5200,293.6500
2020-01-02,AAPL,296.2400,300.6000,295.1900,300.3500
2020-01-03,AAPL,297.1500,300.5800,296.5000,297.4300
2020-01-06,AAPL,293.7900,299.9600,292.7500,299.8000
2020-01-07,AAPL,299.8400,300.9000,297.4800,298.3900
2020-01-08,AAPL,297.1600,304.4400,297.1600,303.1900
2020-01-09,AAPL,307.2400,310.4300,306.2000,309.6300
2020-01-10,AAPL,310.6000,312.6700,308.2500,310.3300
2020-01-13,AAPL,311.6400,317.0700,311.1500,316.9600
2020-01-14,AAPL,316.7000,317.5700,312.1700,312.6800
2020-01-15,AAPL,311.8500,315.5000,309.5500,311.3400
2020-01-16,AAPL,313.5900,315.7000,312.0900,315.2400
2020-01-17,AAPL,316.2700,318.7400,315.0000,318.7300
2020-01-21,AAPL,317.1900,319.0200,316.0000,316.5700
2020-01-22,AAPL,318.5800,319.9900,317.3100,317.7000
2020-01-23,AAPL,317.9200,319.5600,315.6500,319.2300
2020-01-24,AAPL,320.2500,323.3300,317.5200,318.3100
2020-01-27,AAPL,310.0600,311.7700,304.8800,308.9500
2020-01-28,AAPL,312.6000,318.4000,312.1900,317.6900
2020-01-29,AAPL,324.4500,327.8500,321.3800,324.3400
2020-01-30,AAPL,320.5400,324.0900,318.7500,323.8700
2020-01-31,AAPL,320.9300,322.6800,308.2900,309.5100
2020-02-03,AAPL,304.3000,313.4900,302.2200,308.6600
2020-02-04,AAPL,315.3100,319.6400,313.6300,318.8500
2020-02-05,AAPL,323.5200,324.7600,318.9500,321.4500
2020-02-06,AAPL,322.5700,325.2200,320.2600,325.2100
2020-02-07,AAPL,322.3700,323.4000,318.0000,320.0300
2020-02-10,AAPL,314.1800,321.5500,313.8500,321.5500
2020-02-11,AAPL,323.6000,323.9000,318.7100,319.6100
2020-02-12,AAPL,321.4700,327.2200,321.4700,327.2000
2020-02-13,AAPL,324.1900,326.2200,323.3500,324.8700
2020-02-14,AAPL,324.7400,325.9800,322.8500,324.9500
2020-02-18,AAPL,315.3600,319.7500,314.6100,319.0000
2020-02-19,AAPL,320.0000,324.5700,320.0000,323.6200
2020-02-20,AAPL,322.6300,324.6500,318.2100,320.3000
2020-02-21,AAPL,318.6200,320.4500,310.5000,313.0500
2020-02-24,AAPL,297.2600,304.1800,289.2300,298.1800
